motor_id,temperature,vibration,pressure,rpm
MOTOR-001,75,125,65,2100
MOTOR-002,82,118,58,1950
MOTOR-003,68,132,72,2200
MOTOR-004,90,145,45,1800
MOTOR-005,73,119,69,2050
MOTOR-006,85,138,52,1920
MOTOR-007,71,122,74,2180
MOTOR-008,88,151,48,1850
MOTOR-009,76,127,67,2080
MOTOR-010,79,134,61,2000
MOTOR-011,92,156,43,1780
MOTOR-012,69,115,71,2220
MOTOR-013,84,129,54,1970
MOTOR-014,77,141,63,2120
MOTOR-015,86,148,49,1890
MOTOR-016,72,121,68,2160
MOTOR-017,81,133,59,2030
MOTOR-018,89,152,46,1840
MOTOR-019,74,124,66,2090
MOTOR-020,83,137,55,1960
